ID,Name,Designator,Footprint,Quantity,Manufacturer Part
1,0.1uF,"C5, C6, C7, C10, C11, C12, C13, C14, C15, C25, C26, C42, C43, C44",C0805,14,
2,10uF,"C8, C9",C0805,2,?
3,100pF,"C16, C17",C0805,2,?
4,0.33uF,C32,C0805,1,
5,0.01uF,C33,C0805,1,
6,1N5819,"D1, D2",SOD-123_L2.8-W1.8-LS3.7-RD,2,1N5819HWQ-7-F
7,1N4148,"D19, D20, D21, D22, D23, D24, D25, D26",SOD-80_L3.5-W1.5-FD,8,1N4148
8,Ferrite,"F1, F2",R0805,2,
9,X4611WV-04I-C28D40,"H1, H9, H11",HDR-TH_4P-P2.00-V-M,3,X4611WV-04I-C28D40
10,X4611WV-05I-C28D40,"H2, H3, H4, H5, H6, H7, H8, H10",HDR-TH_5P-P2.00-V-M,8,X4611WV-05I-C28D40
11,HDR-IDC-2.54-2X4P,P1,IDC-TH_8P-P2.54-V-R2-C4-S2.54,1,IDC Box 2X4 2.54MM
12,HDR-IDC-2.54-2X3P,P2,IDC-TH_6P-P2.54_C11214,1,2X3 2.54mm IDC Box
13,IDC Box 2.54mm 2X5P,P3,EURO_PWR_HEADER_LOCK,1,IDC Box 2.54mm 2X5P
14,100k,"R17, R18, R19, R20, R23, R24, R25, R26, R28, R46",R0805,10,
15,150k,"R29, R45",R0805,2,
16,CD4070BM96,"U1, U2",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,2,CD4070BM96
17,CD4042BDR,U11,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,1,CD4042BDR
18,L78L05ACZTR,U14,TO-92-3_L4.8-W3.7-P2.54-L,1,L78L05ACZTR
19,DG408DY-E3,U17,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,DG408DY-E3
20,CD40106BM96,U18,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,CD40106BM96
21,CD4532BE,U26,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,CD4532BE
22,CD4028BM96,U27,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,CD4028BM96
23,CD4029BCSJ,U28,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,
24,TL074_SMD,"U1D, U2D, U9D",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,3,
