ID,Name,Designator,Footprint,Quantity,Manufacturer Part
1,0.1uF,"C1, C3, C4, C59",C0805,4,
2,56nF,C2,C0805,1,
3,1N4148,D27,SOD-80_L3.5-W1.5-FD,1,1N4148
4,X4611WV-05I-C28D40,H10,HDR-TH_5P-P2.00-V-M,1,X4611WV-05I-C28D40
5,X4611WV-04I-C28D40,H11,HDR-TH_4P-P2.00-V-M,1,X4611WV-04I-C28D40
6,100k,"R21, R27, R30",R0805,3,
7,47k,R22,R0805,1,
8,CD4013BM,"U12, U25",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,2,CD4013BM
9,CD4081BM,U13,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,CD4081BM
10,CD40106BM96,U15,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,CD40106BM96
