ID,Name,Designator,Footprint,Quantity,Manufacturer Part
1,THONKICONNNEW,"MAIN-OUT, CLK1",THONKICONN-TIGHT,2,
2,X4611WV-04I-C28D40,"H1, H9",HDR-TH_4P-P2.00-V-M,2,X4611WV-04I-C28D40
3,X4611WV-05I-C28D40,"H2, H3, H4, H5, H6, H7, H8",HDR-TH_5P-P2.00-V-M,7,X4611WV-05I-C28D40
4,SUBMINI_SPDT,"HOLD, OCT",SUBMINI_TOGGLE,2,
5,LED_2X5MM_BICOLOR-CMN-CAT,"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",KINGBRIGHT-WP119EGWT-2X5-BICOLOR-LED,8,
6,BC847,Q8,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,1,2n3904S-RTK/PS
7,1k,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16",R0805,16,
8,10k,R56,R0805,1,
9,100k,R57,R0805,1,
10,Submini DPDT On-On,"S1, S2, S3, S4, S5, S6, S7, S8",SUBMINI TOGGLE SWITCH DPDT ON-ON,8,Mini Toggle Switch DPDT On-On
11,Submini DPDT On-Off-On,UPDOWN,SUBMINI TOGGLE SWITCH DPDT ON-ON,1,Mini Toggle Switch DPDT On-On
12,B100k,"VR1, VR2, VR3, VR4, VR5, VR6, VR7, VR8",9MM_SNAP-IN_POT,8,
